ISO,SOV,SVO,OSV,OVS,VSO,VOS,MAX,WALS,Num_Sentences,SO,OS,H,H_SO,num_tokens,H_ML,H_MM,H_Jeff,H_Lap,H_SG,H_minmax,H_CS,H_NSB,H_shrink,corpus
djr,11,28,1,0,2,3,SVO,No dominant order,45,41,4,1.50486258244553,0.432750158788754,,,,,,,,,,,
gul,7,73,7,1,2,0,SVO,_,90,82,8,1.01229574402914,0.432750158788754,50000,7.6727030499,7.6911839733,7.7369740968,7.7975038345,7.672806657,7.6955969536,7.7122786086,7.7041609355,7.6811987117,PBC
cce,30,68,5,2,3,3,SVO,_,111,101,10,1.53068968119657,0.436770454577089,50000,8.4780895666,8.5315702718,8.6747548298,8.8492936328,8.4782027059,8.5031817519,8.6287099969,8.5806188665,8.487279832,PBC
bhl,9,1,1,0,0,0,SOV,_,11,10,1,0.865856617457223,0.439496986921513,50000,8.7890248435,8.8399519785,8.9667182163,9.1240213696,8.7891323792,8.812858264,8.9231745884,8.8794473466,8.8042130225,PBC
mnx,3,6,1,0,1,0,SVO,SVO,11,10,1,1.61718957259272,0.439496986921513,50000,8.1680122023,8.2121730975,8.3393799286,8.493409854,8.1681308109,8.194298312,8.2991243624,8.2591848041,8.1775748536,PBC
hns,124,13,7,7,2,0,SOV,_,153,139,14,1.03693668104159,0.441467724932038,50000,8.3387441136,8.3750278939,8.4655873614,8.5811139521,8.3388501965,8.362240969,8.4292501207,8.4022749403,8.3477055214,PBC
kmo,62,6,3,4,1,0,SOV,SOV,76,69,7,1.01865338514784,0.443458145389679,50000,8.7149972753,8.7655348826,8.8934244707,9.0515759303,8.7151060155,8.7390981444,8.8491958426,8.8062939535,8.728514209,PBC
mbf,4,206,19,1,5,2,SVO,_,237,215,22,0.775918895186833,0.445836251971025,50000,8.1404455366,8.1763542162,8.271562512,8.3913167116,8.1405561556,8.1649527527,8.2330924111,8.2075284568,8.1488462302,PBC
lav,192,298,41,9,7,1,SVO,SVO,548,497,51,1.48221919811945,0.446620756141179,50000,9.7506900083,9.8539436923,10.0588288367,10.3133440654,9.7507854023,9.7718760105,10.0064248664,9.899002456,9.7600106881,PBC
yor,12,181,16,1,1,3,SVO,SVO,214,194,20,0.875828934658728,0.447907858914932,50000,8.185944601,8.2202374621,8.3123157106,8.4275505497,8.1860563778,8.2106904963,8.2739182587,8.2510435731,8.1978330174,PBC
lit,52,167,12,10,3,1,SVO,SVO,245,222,23,1.36318814044667,0.449281827496306,50000,10.6267656886,10.7602294068,10.9548722326,11.213625782,10.6268462671,10.6446649857,10.8916040119,10.7678390548,10.6422199226,PBC
fuf,8,121,5,2,6,7,SVO,_,149,135,14,1.11209904634543,0.449550570726131,50000,9.0045123168,9.0809895809,9.2685053022,9.4951254914,9.0046204022,9.0285050471,9.2297446378,9.1399671777,9.0149730829,PBC
bnj,6,40,1,2,21,4,SVO,_,74,67,7,1.74154032943739,0.451622822182004,50000,7.9025898058,7.9402874272,8.051162429,8.1864500948,7.9027094031,7.9290896692,8.0175765301,7.9816377604,7.9089569632,PBC
zpl,6,34,0,1,27,6,SVO,_,74,67,7,1.71789594441842,0.451622822182004,50000,8.5176606856,8.5725985127,8.7206410632,8.9001382725,8.5177745891,8.5429213533,8.6773156828,8.6239670202,8.5267033356,PBC
sxn,13,90,5,3,2,3,SVO,_,116,105,11,1.20718866336664,0.452381623059011,50000,9.0416727747,9.1391123977,9.3893947155,9.6793728591,9.0417862757,9.0668788561,9.3355239343,9.2257886748,9.0507786991,PBC
bam,92,22,7,4,0,1,SOV,SOV,126,114,12,1.21595706618508,0.453716339186945,50000,7.7328589898,7.7611502395,7.8417128645,7.9424308726,7.7329747442,7.7584827618,7.8096733854,7.7896474918,7.740371829,PBC
gnw,10,38,3,1,9,2,SVO,_,63,57,6,1.7245062889781,0.453716339186945,50000,7.9351314409,7.9715594907,8.0751146975,8.2030723419,7.9352477831,7.9609135418,8.043321075,8.008541425,7.9420440982,PBC
hwc,2,73,5,1,1,2,SVO,_,84,76,8,0.827236074294497,0.453716339186945,50000,7.6613688734,7.6803835941,7.7293450043,7.793195566,7.6614755469,7.6849344563,7.7042520298,7.695232283,7.6698897522,PBC
kma,7,67,5,0,2,3,SVO,SVO,84,76,8,1.10131756335407,0.453716339186945,50000,7.7098581432,7.7400681773,7.8287388731,7.9382753312,7.7099768222,7.7361310521,7.7916314758,7.7727022266,7.7165167808,PBC
srm,1,17,1,0,1,1,SVO,_,21,19,2,1.08341893224277,0.453716339186945,50000,7.2589291289,7.2756066836,7.3241743576,7.3856492006,7.2590456907,7.2846498847,7.3005238031,7.2929390621,7.2664613017,PBC
tuf,16,1,2,0,2,0,SOV,_,21,19,2,1.15422218468352,0.453716339186945,50000,9.4196908016,9.4748738869,9.577100417,9.7158649111,9.4197788684,9.4392190806,9.5401363523,9.4902477332,9.4365808022,PBC
zlm,12,435,25,16,74,14,SVO,_,576,521,55,1.27298469816354,0.454521362221897,1251,7.6935114441,7.95817852,7.9754034896,8.1593229099,7.6950550192,7.7460739746,8.1648292118,8.3401333098,7.8437603255,UDHR
ndo,53,98,11,1,0,4,SVO,SVO,167,151,16,1.40840431271267,0.45556587547952,50000,9.721675003,9.7980512785,9.9387806046,10.1242782636,9.7217642385,9.7414785491,9.8967514921,9.8207486862,9.7399457896,PBC
bib,36,10,4,1,1,0,SOV,_,52,47,5,1.32858239120269,0.456683631539443,50000,7.2813115777,7.3022018018,7.365679821,7.4447079526,7.2814322898,7.3079927547,7.3365035029,7.3260700752,7.2874462856,PBC
ita,137,283,24,5,9,17,SVO,SVO,475,429,46,1.52960767818042,0.458904616342673,50000,9.6430917672,9.731283715,9.910931635,10.1359541106,9.6431879829,9.6644504029,9.8565656862,9.7722994556,9.6590012733,PBC
xsm,7,29,2,1,1,1,SVO,SVO,41,37,4,1.39333411893265,0.461216040513909,50000,7.5106490534,7.5347564875,7.6070028457,7.6966163546,7.5107689872,7.5371699251,7.577631311,7.5617291162,7.5179910291,PBC
gej,18,100,8,2,2,3,SVO,_,133,120,13,1.24927373997038,0.461804331675201,50000,8.1980905753,8.2389765528,8.3533309215,8.4935348685,8.1982063328,8.2237373594,8.3133869905,8.2796438978,8.2087831636,PBC
bpr,3,26,1,1,17,3,SVO,_,51,46,5,1.72716895026069,0.462749058578174,50000,7.8075149118,7.8509688864,7.9844256775,8.1444923414,7.8076388595,7.8349982254,7.9441748465,7.9032436457,7.8129684752,PBC
cko,4,41,5,0,1,0,SVO,SVO,51,46,5,0.980870976015059,0.462749058578174,50000,7.4398305577,7.462408735,7.5280783022,7.6106103935,7.4399474624,7.4656878503,7.4973579701,7.4859499422,7.4464102663,PBC
ljp,8,98,7,2,4,3,SVO,SVO,122,110,12,1.13854113526898,0.463777349887752,50000,8.7208557575,8.7724609591,8.8987759666,9.0568897831,8.7209617577,8.7443598433,8.8564242696,8.8104900021,8.7322515577,PBC
mzk,12,37,2,2,6,2,SVO,_,61,55,6,1.71304718114892,0.463777349887752,50000,7.6692119858,7.6888326384,7.7394071507,7.8052539813,7.669318828,7.692816704,7.712763309,7.7042251669,7.6773530678,PBC
xkl,6,76,3,1,9,6,SVO,_,101,91,10,1.32012976447941,0.465849173772043,,,,,,,,,,,
kng,10,89,6,1,1,4,SVO,SVO,111,100,11,1.09108855725812,0.466133282724135,50000,9.4261641831,9.5054835564,9.6763984937,9.8893108284,9.4262634599,9.4481973955,9.6240719793,9.5488813295,9.4388717241,PBC
bth,5,130,9,2,1,4,SVO,_,151,136,15,0.860611486470001,0.466892783403397,50000,8.2798652878,8.3104937035,8.3835473088,8.4789464017,8.2799674387,8.3024799152,8.3489777861,8.3305393532,8.2898515409,PBC
pcm,8,145,11,3,1,3,SVO,_,171,154,17,0.911125375344946,0.467139090510047,50000,7.8249354437,7.8470952395,7.90388482,7.9775385373,7.8250421679,7.848524545,7.875960962,7.8643590544,7.8344815051,PBC
bru,6,39,2,1,0,2,SVO,_,50,45,5,1.13104695897563,0.468995593589281,50000,7.7891802103,7.8098396033,7.8626152602,7.9313596762,7.7892864688,7.8126631626,7.8381859806,7.8257229923,7.7993550196,PBC
bvz,13,2,1,1,3,0,SOV,SOV,20,18,2,1.57889790298748,0.468995593589281,50000,8.5538951292,8.5975366542,8.7087140104,8.8476072544,8.5540036755,8.5779444916,8.6707681027,8.6327790556,8.5669929936,PBC
lem,32,47,3,1,2,5,SVO,_,90,81,9,1.60929527404691,0.468995593589281,50000,9.1192215639,9.1701486989,9.2771337631,9.4171833011,9.1193170034,9.1403783323,9.2398368497,9.1939965885,9.1361291986,PBC
shi,1,14,0,0,12,3,SVO,No dominant order,30,27,3,1.53764371495439,0.468995593589281,50000,11.5698441697,11.7448286512,11.8983823575,12.1426090657,11.5699077216,11.5839645522,11.8468073433,11.6808412387,11.6064077583,PBC
tar,9,35,2,2,1,1,SVO,SOV,50,45,5,1.40277157765363,0.468995593589281,50000,8.4050682389,8.4512633341,8.576528479,8.7299768862,8.4051819492,8.4302700064,8.5361284295,8.4945702476,8.4163178627,PBC
jam,10,85,7,2,3,2,SVO,_,109,98,11,1.20466246718844,0.471897053875085,50000,7.5945442752,7.6135301419,7.6617397283,7.7250275027,7.5946497146,7.6178504815,7.6340747164,7.6277548495,7.6017259982,PBC
mfq,10,75,5,3,4,2,SVO,_,99,89,10,1.30869792601229,0.472189384676751,50000,7.6867525306,7.7205260215,7.823758042,7.9492824575,7.6868752399,7.7139301594,7.7882869905,7.7603949947,7.6923395426,PBC
mww,7,60,6,0,4,2,SVO,_,79,71,8,1.24587321406012,0.472995362293148,50000,7.7266582099,7.7439994043,7.7855148161,7.8409833228,7.7267592975,7.748979714,7.7613902611,7.7550535756,7.7372821045,PBC
mfz,11,29,1,1,4,3,SVO,_,49,44,5,1.70266731011779,0.475431646268721,50000,8.3703084137,8.4196918649,8.5546665345,8.7192463091,8.3704229172,8.3956967311,8.5124091008,8.4668711611,8.3792831534,PBC
dad,63,7,4,3,0,1,SOV,_,78,70,8,1.04213289659223,0.47707130621933,50000,8.7233870176,8.7666822958,8.8674333402,8.996900362,8.7234887016,8.7459187344,8.8276734447,8.7940766701,8.7368588166,PBC
mxt,4,23,1,1,8,2,SVO,_,39,35,4,1.74586568067478,0.47707130621933,50000,7.3444378258,7.3729310529,7.4656296208,7.5776175183,7.3445659113,7.3727858023,7.4319345464,7.4106666563,7.3491384033,PBC
wap,7,26,1,2,2,1,SVO,_,39,35,4,1.54532742075785,0.47707130621933,50000,9.6079416987,9.6959460962,9.8785175622,10.1058955341,9.6080390905,9.629561333,9.8284320606,9.739470811,9.6248927471,PBC
msy,56,4,4,2,1,1,SOV,_,68,61,7,1.04022937602643,0.478250164107114,50000,9.1207470961,9.1812248723,9.3168167116,9.488238611,9.1208476562,9.1430498017,9.2693436191,9.217021378,9.135118112,PBC
mlh,49,18,4,4,2,0,SOV,_,77,69,8,1.48523547072598,0.481225663841737,50000,9.9249605961,10.0036451837,10.1375022316,10.3180706615,9.9250456572,9.9438366641,10.0955351692,10.0186710169,9.9439957136,PBC
nus,102,45,9,3,8,6,SOV,No dominant order,173,155,18,1.65130590546679,0.481692199639797,50000,8.3759091041,8.4179925185,8.5274782366,8.6642536402,8.3760189394,8.4002493898,8.486732885,8.4534429937,8.384289325,PBC
atg,6,102,11,0,3,2,SVO,_,124,111,13,0.979149574962736,0.484148911187714,50000,8.1082212583,8.135646891,8.205076624,8.2944272193,8.1083277089,8.1317658943,8.1735761353,8.1566870357,8.1185679748,PBC
mhy,11,98,3,4,2,6,SVO,SVO,124,111,13,1.17548683429985,0.484148911187714,50000,8.5424959541,8.5882293869,8.7038659433,8.8485423583,8.5426039366,8.5664302021,8.6611984797,8.6244461219,8.5538490624,PBC
deu,1571,1391,251,53,529,105,SOV,No dominant order,3900,3491,409,1.92923400889539,0.484251267577015,50000,9.5428085454,9.6236571755,9.7929282103,10.0049839747,9.5429060889,9.5644564839,9.7387156199,9.664286817,9.5599084218,PBC
bwu,9,38,0,2,4,4,SVO,SVO,57,51,6,1.51796772427286,0.485460760745913,50000,7.2313813286,7.2542768989,7.3270584422,7.4163474939,7.2315064898,7.2590570505,7.2972517669,7.2830200137,7.2365392875,PBC
dje,110,60,16,0,0,4,SOV,No dominant order,190,170,20,1.39952400715082,0.485460760745913,50000,8.007837216,8.0379174076,8.1180982044,8.2196569351,8.007947771,8.0323106767,8.0847669126,8.0641287101,8.0174507637,PBC
ese,12,3,1,1,2,0,SOV,SOV,19,17,2,1.62822027603215,0.485460760745913,50000,8.6687925588,8.7117560171,8.8165754065,8.9492157956,8.6688977781,8.6921025435,8.7808746528,8.7428221271,8.684209664,PBC
sua,1,11,0,0,5,2,SVO,SVO,19,17,2,1.52880181452532,0.485460760745913,50000,8.1897770176,8.2192079965,8.2926435452,8.3873066455,8.1898824985,8.2131183789,8.2601968551,8.2410107852,8.2007689414,PBC
wim,7,9,2,0,1,0,SVO,SOV,19,17,2,1.60683227831811,0.485460760745913,,,,,,,,,,,
lia,14,57,3,2,13,5,SVO,_,94,84,10,1.74344051094752,0.488908591440515,50000,8.1513751382,8.1892891639,8.2918177318,8.4195912393,8.1514876014,8.1762932553,8.2523574298,8.2239249934,8.1595184056,PBC
fal,5,65,2,3,5,4,SVO,_,84,75,9,1.28007841923249,0.491237341824333,50000,8.2511143573,8.2926784014,8.4061880501,8.5462726459,8.25122807,8.2763135511,8.3691763587,8.3318388305,8.2607180259,PBC
uvl,6,73,7,0,4,3,SVO,_,93,83,10,1.16525193197755,0.492410921315898,50000,7.6637241226,7.6883797808,7.7590206722,7.8474909513,7.6638402284,7.6893969296,7.7272759949,7.7135051031,7.6714217364,PBC
qup,26,12,2,3,3,0,SOV,_,46,41,5,1.68137157160812,0.495969072061834,50000,10.4882211101,10.6128411078,10.8011510797,11.0513528807,10.4883027931,10.5063652337,10.7658992387,10.6237993285,10.5071866465,PBC
ubr,66,15,7,3,1,0,SOV,_,92,82,10,1.28508649118362,0.495969072061834,50000,8.7480272874,8.8088513104,8.9646783961,9.1543939116,8.7481376806,8.7725141898,8.9126260959,8.8599900633,8.7553153898,PBC
bnp,4,42,4,0,3,2,SVO,_,55,49,6,1.24986481790882,0.497167761416075,50000,7.3607919403,7.3866450354,7.4685784015,7.5685487435,7.3609172492,7.3885100253,7.4345993541,7.4191029189,7.3656485147,PBC
hye,83,165,14,13,10,5,SVO,No dominant order,290,258,32,1.6598779009794,0.500955186914246,50000,10.4584710211,10.580667291,10.7701718663,11.019677921,10.4585539571,10.476891478,10.7074510818,10.5952302731,10.4810470225,PBC
bre,13,131,11,1,41,11,SVO,SVO,208,185,23,1.61750098094589,0.501653683598645,50000,8.8233752781,8.8815447422,9.0218287982,9.1966891004,8.823480635,8.8467468359,8.9779994212,8.9231895482,8.832661915,PBC
fin,130,498,62,11,31,9,SVO,SVO,741,659,82,1.48432553858441,0.501907327408413,50000,10.8724246373,11.0194208351,11.2110073665,11.4734404908,10.8725008455,10.8893556608,11.1487160514,11.0114976319,10.8865809433,PBC
awa,86,13,5,7,5,1,SOV,_,117,104,13,1.36920873117749,0.503258334775646,50000,9.1779615872,9.2494182726,9.414431122,9.6179664943,9.1780650937,9.2009280887,9.3609712656,9.2964834717,9.1891842972,PBC
esk,4,17,1,0,3,2,SVO,_,27,24,3,1.6348224724072,0.503258334775646,50000,12.5172562892,12.8096472931,12.9398238645,13.2152687535,12.5173089548,12.5289653935,12.9261384702,13.5469387076,12.5505632055,PBC
guh,3,4,0,0,1,1,SVO,SOV,9,8,1,1.7527152789797,0.503258334775646,50000,9.9376489203,10.0504820994,10.2628534684,10.5281828749,9.9377416468,9.9582462232,10.2387066681,10.0917220237,9.95048849,PBC
mur,12,21,2,2,47,6,VSO,VSO,90,80,10,1.87147901943874,0.503258334775646,50000,8.9330844514,8.9905469949,9.1258497826,9.2954502914,8.9331881427,8.956081535,9.0835718801,9.0292637085,8.9445744834,PBC
yad,0,22,0,2,10,2,SVO,No dominant order,36,32,4,1.41084787480636,0.503258334775646,50000,10.521194725,10.6607898971,10.8761520153,11.15485992,10.5212782609,10.5397541912,10.8249952893,10.6785287226,10.5338988915,PBC
zul,1,34,2,1,5,2,SVO,SVO,45,40,5,1.3011113835086,0.503258334775646,50000,11.6824839504,11.877810432,12.0443307301,12.3071869,11.6825474598,11.6965974583,11.9953724696,11.8055505365,11.7164236305,PBC
cym,59,411,21,27,175,33,SVO,VSO,726,645,81,1.78091348902636,0.504634207439274,50000,9.212280367,9.2799860453,9.4276620241,9.6145787131,9.2123793986,9.2342555468,9.3887459974,9.3171721159,9.2228789901,PBC
est,146,350,45,14,45,9,SVO,SVO,609,541,68,1.72363610702086,0.504898185959978,50000,9.9848432948,10.0900013363,10.2826104734,10.5271244892,9.9849341029,10.0050088194,10.224850024,10.1237906908,9.9956259569,PBC
