ISO,SOV,SVO,OSV,OVS,VSO,VOS,MAX,WALS,Num_Sentences,SO,OS,H,H_SO,num_tokens,H_ML,H_MM,H_Jeff,H_Lap,H_SG,H_minmax,H_CS,H_NSB,H_shrink,corpus
kto,4,17,1,2,9,1,SVO,VSO,34,30,4,1.91051597906691,0.522559374536941,50000,8.2274370173,8.2706024529,8.3917604334,8.5396045173,8.2275533165,8.2532079017,8.3508841991,8.3140409154,8.2354137188,PBC
stn,14,54,8,1,7,1,SVO,_,85,75,10,1.61270413049021,0.522559374536941,50000,7.9936453334,8.0276496555,8.1253421148,8.2454945788,7.9937627824,8.0196458612,8.0898286941,8.0631597964,8.0027403641,PBC
suk,0,12,0,1,3,1,SVO,SVO,17,15,2,1.27720181120226,0.522559374536941,50000,9.6968814753,9.7971776346,10.0038186431,10.2578200393,9.696979206,9.7185834741,9.9633192134,9.846905084,9.7093187389,PBC
leu,10,105,10,0,4,6,SVO,_,135,119,16,1.18834066181367,0.525087346431236,50000,7.735731762,7.7612530372,7.8322009424,7.9217024863,7.7358453404,7.7608537477,7.8001133874,7.7855779338,7.7423401669,PBC
bul,57,105,7,10,9,6,SVO,SVO,194,171,23,1.75259131856384,0.525197867780943,50000,9.5031265341,9.5912174933,9.7766948397,10.0074020947,9.5032247013,9.5249222647,9.73042447,9.636543428,9.5154787282,PBC
nsn,7,60,1,2,7,7,SVO,SVO,84,74,10,1.44746160016304,0.526617065571428,50000,8.9938258125,9.0540439035,9.198201179,9.3767593418,8.9939311389,9.0171831889,9.1489364359,9.0969477355,9.0080760914,PBC
cjp,74,18,4,9,4,0,SOV,_,109,96,13,1.45545474591927,0.527247477024035,50000,8.6124383388,8.6658901901,8.8040695649,8.9740427583,8.612548664,8.6369058593,8.7688556895,8.7111012495,8.6241209664,PBC
mos,7,116,8,3,2,6,SVO,SVO,142,125,17,1.08325456742234,0.528550613279213,50000,8.602685777,8.669597973,8.8491719065,9.0639251626,8.602800225,8.6280846276,8.7995111693,8.7324274446,8.6094665714,PBC
ban,8,50,0,6,8,3,SVO,_,75,66,9,1.55605239722619,0.529360865287364,50000,9.4923023276,9.5635858895,9.7052534326,9.8887281674,9.4923956963,9.5130207854,9.6566938885,9.5923768443,9.5079175101,PBC
gog,6,36,4,1,2,1,SVO,_,50,44,6,1.41131468864972,0.529360865287364,50000,9.9639629312,10.06322035,10.2498097296,10.4855205827,9.9640550943,9.9844238288,10.1897108858,10.0986944932,9.9876660442,PBC
jae,23,108,5,2,1,11,SVO,SVO,150,132,18,1.32726426714646,0.529360865287364,50000,8.6240189158,8.6685693386,8.7775228453,8.9153213473,8.6241242891,8.6473719229,8.7365807261,8.7009221612,8.6362381671,PBC
mau,7,58,6,1,1,2,SVO,No dominant order,75,66,9,1.20316326148082,0.529360865287364,50000,8.2394195372,8.2743183302,8.3653136882,8.4800880448,8.2395289608,8.2636488329,8.3295609563,8.3035492489,8.2488533416,PBC
mog,8,64,3,5,16,4,SVO,_,100,88,12,1.68021091000872,0.529360865287364,50000,8.6062321678,8.6741253964,8.8618941735,9.0837542299,8.6063494346,8.6322529118,8.8095586916,8.7426052495,8.6165534474,PBC
sps,3,80,2,5,5,5,SVO,SVO,100,88,12,1.1704756246101,0.529360865287364,50000,8.1118640935,8.1378181773,8.2014705943,8.2844200946,8.1119679532,8.1348337912,8.1714311349,8.1560330537,8.1222096317,PBC
srn,5,79,11,0,4,1,SVO,_,100,88,12,1.08723551592034,0.529360865287364,50000,7.3548753595,7.3753039213,7.436362171,7.5126258581,7.354994659,7.3812312554,7.4059976668,7.3978975571,7.361661463,PBC
tbg,39,8,5,1,4,1,SOV,SOV,58,51,7,1.55211328805749,0.531340014180167,50000,9.8244613796,9.9059303685,10.0562393626,10.2522366819,9.8245512078,9.8443957883,9.9969234388,9.9310810956,9.8472625416,PBC
cap,75,2,8,2,3,1,SOV,SOV,91,80,11,1.01420904361238,0.531882602880023,50000,10.2846280851,10.405093121,10.6077358466,10.8672918414,10.2847151257,10.3039604726,10.5488927659,10.4316862348,10.3032172789,PBC
kkj,6,49,2,2,3,4,SVO,_,66,58,8,1.38703889408367,0.532835063034223,50000,8.0430728207,8.0715516208,8.1448766247,8.2389050574,8.0431804685,8.0668982177,8.1154301781,8.0942769396,8.0523529831,PBC
teo,4,59,2,2,53,12,SVO,VSO,132,116,16,1.69836931623079,0.532835063034223,50000,10.254783901,10.3700840887,10.5636576111,10.8134963793,10.2548705096,10.2740190032,10.5060621066,10.3945949585,10.2754045462,PBC
kor,173,33,8,18,4,3,SOV,SOV,239,210,29,1.35497046133595,0.533197320246082,50000,11.5635570337,11.7395514017,11.8961770547,12.1429178384,11.5636210855,11.577788254,11.8147308503,11.6772233469,11.5895670937,PBC
bqc,88,18,10,4,2,1,SOV,SOV,123,108,15,1.3595233393643,0.534943699097107,50000,9.4275396941,9.514260093,9.7046071944,9.9382165462,9.427640722,9.4499672108,9.646573739,9.5650997622,9.4391418097,PBC
kpx,51,16,6,3,5,1,SOV,SOV,82,72,10,1.66038132874646,0.534943699097107,50000,9.2466103241,9.3092954236,9.4436421689,9.6154522424,9.2467079422,9.2682639988,9.4013250233,9.3416584051,9.2627754795,PBC
pkb,6,27,2,2,3,1,SVO,_,41,36,5,1.63446358840091,0.534943699097107,50000,10.0034881651,10.1066697144,10.2939689849,10.5330968784,10.0035783157,10.0235071531,10.2644090593,10.1382757272,10.0169683992,PBC
rmy,21,224,8,7,20,22,SVO,_,302,265,37,1.38647192349254,0.536551626302993,50000,8.7608706184,8.8120574384,8.9345328261,9.0889369099,8.760974902,8.7839932138,8.8907391475,8.8475548761,8.7704510078,PBC
myv,33,100,12,5,3,2,SVO,SVO,155,136,19,1.51977148332872,0.536733636464726,50000,10.6491352424,10.7664552031,10.9242305726,11.1456648398,10.6492112447,10.6660141833,10.8804425713,10.7606855865,10.6692656454,PBC
huv,9,33,0,1,8,6,SVO,SVO,57,50,7,1.71878289212726,0.537376085337734,50000,8.8576766872,8.9098445398,9.032349223,9.1872474123,8.8577797515,8.8805282328,8.990343174,8.9443597966,8.8701365914,PBC
tpm,6,50,5,1,1,2,SVO,_,65,57,8,1.23294896737461,0.53814118522245,50000,7.9243040071,7.9582506214,8.0586553324,8.1811571525,7.9244240781,7.9508819722,8.0232857659,7.9959802469,7.9345986081,PBC
pls,6,45,1,5,13,3,SVO,_,73,64,9,1.70881896091294,0.538737914866582,50000,8.0239358568,8.0685007066,8.2009162418,8.3602399445,8.024057119,8.0508166787,8.1622627659,8.1189689901,8.0321242055,PBC
dip,54,29,6,6,9,1,SOV,No dominant order,105,92,13,1.8457288605503,0.540212981541557,50000,8.4852490237,8.5287462792,8.6386458291,8.7767166169,8.4853567157,8.5091162843,8.5990269102,8.5629535088,8.4940432597,PBC
bav,2,66,5,1,2,4,SVO,SVO,80,70,10,1.04018244048618,0.543564443199596,50000,7.9556053725,7.9811555017,8.0466570075,8.1311635299,7.9557124127,7.9792842431,8.0157605685,8.0012019424,7.9655557545,PBC
blh,24,39,6,2,0,1,SVO,_,72,63,9,1.53548664648033,0.543564443199596,50000,8.2978504041,8.3281181461,8.4007178447,8.4952486432,8.2979530484,8.3205666883,8.3655798518,8.3483074012,8.3087139569,PBC
bts,4,20,4,4,74,6,VSO,_,112,98,14,1.58014165456996,0.543564443199596,50000,8.3335435932,8.390342497,8.551785791,8.7447270999,8.3336620473,8.3598208354,8.5093738826,8.4499486694,8.3411369185,PBC
cki,8,27,2,1,0,2,SVO,_,40,35,5,1.41237903092702,0.543564443199596,,,,,,,,,,,
cpc,1,0,1,0,0,6,VOS,_,8,1,7,1.06127812445913,0.543564443199596,50000,10.9158861931,11.0870908136,11.3201048401,11.6248875765,10.9159654936,10.9335090908,11.2713840601,11.0892653602,10.9373886037,PBC
ike,13,1,2,0,0,0,SOV,_,16,14,2,0.868392729010363,0.543564443199596,50000,12.949484383,13.2619721289,13.3204531237,13.5550103197,12.9495283888,12.9592675958,13.3096116854,13.798097021,13.0043394605,PBC
kub,11,63,7,0,3,4,SVO,_,88,77,11,1.37955940338648,0.543564443199596,50000,7.800367943,7.8294959559,7.9143687002,8.0193154458,7.8004860511,7.8265005597,7.8821301472,7.8605528658,7.8087929809,PBC
mie,3,14,3,1,25,2,VSO,VSO,48,42,6,1.81602190368987,0.543564443199596,50000,7.3920146832,7.4159201401,7.4877131686,7.5770044867,7.3921345783,7.418539383,7.4548217764,7.4426584923,7.3980685058,PBC
nhy,13,42,4,4,1,0,SVO,_,64,56,8,1.45963987355403,0.543564443199596,50000,9.0771855401,9.1539224893,9.3381470894,9.5619004055,9.0772920942,9.100837455,9.2988060834,9.2101222327,9.087258537,PBC
tpz,5,33,4,1,4,1,SVO,_,48,42,6,1.54174070044479,0.543564443199596,50000,7.5734756689,7.5919998732,7.6414299255,7.7052342011,7.5735851759,7.5976552169,7.6158496543,7.6078265462,7.5819569553,PBC
trc,0,4,0,0,10,2,VSO,VSO,16,14,2,1.2987949406954,0.543564443199596,50000,7.4262960896,7.4449645635,7.4969565516,7.563392346,7.4264089817,7.4512335233,7.4706425928,7.4625562819,7.4334976796,PBC
ven,32,68,10,3,5,2,SVO,SVO,120,105,15,1.69412991118771,0.543564443199596,50000,8.4831055334,8.5325899733,8.6619887851,8.8215797305,8.4832164542,8.5076984128,8.61305236,8.5753329344,8.4906517844,PBC
zos,8,29,1,3,5,2,SVO,_,48,42,6,1.76733798331908,0.543564443199596,50000,9.879713529,10.0038141564,10.2536074101,10.5537505528,9.8798113373,9.9014413147,10.1897145699,10.0637926541,9.8908466354,PBC
shu,7,81,6,0,2,7,SVO,_,103,90,13,1.14921320536974,0.546961740722006,50000,9.1197308983,9.2003486971,9.3858198995,9.6135683086,9.1198343899,9.1427100101,9.34334289,9.2530241895,9.124488945,PBC
lee,10,64,2,0,2,9,SVO,_,87,76,11,1.27341928939063,0.547584428874903,50000,8.2349806668,8.2595064825,8.31441399,8.3881980088,8.2350779002,8.2564835414,8.2867483025,8.2725555131,8.2457837692,PBC
als,36,108,14,4,1,3,SVO,_,166,145,21,1.46116589703037,0.547777479958253,1462,7.3973194125,7.6632608034,7.7809276623,8.0360584157,7.3990912404,7.462835801,8.0050192101,7.4914133034,7.4637148589,UDHR
nhw,14,43,3,2,5,4,SVO,_,71,62,9,1.74134034010191,0.548486608843174,50000,8.8888810085,8.968157101,9.1712496777,9.412824969,8.8889927462,8.9136866751,9.1230546913,9.0363753386,8.8967479194,PBC
buk,11,44,3,1,0,4,SVO,_,63,55,8,1.35785728021079,0.549108745026007,50000,7.9026668477,7.9263703272,7.9866099925,8.064786681,7.9027730131,7.9261457217,7.9597117459,7.9444738156,7.9118347531,PBC
gag,87,179,11,16,2,12,SVO,_,307,268,39,1.59365052588221,0.549252534040177,50000,10.4659529917,10.5770260829,10.7402355015,10.9629768985,10.4660326541,10.4836432968,10.6893889743,10.5818167097,10.4889307381,PBC
crm,16,64,6,2,2,4,SVO,_,94,82,12,1.49597422397203,0.550984443301714,50000,9.1128178426,9.2257231565,9.5117780577,9.8387733315,9.1129312591,9.138014731,9.4692506127,9.324601017,9.1197485216,PBC
sna,5,67,2,1,3,8,SVO,SVO,86,75,11,1.20774726938499,0.551669992002082,50000,11.2129560068,11.3618277081,11.5242760707,11.7629825535,11.2130256101,11.2284163655,11.4387793391,11.3297785789,11.2484448753,PBC
ron,42,135,10,14,7,3,SVO,SVO,211,184,27,1.59419843433365,0.551822589309536,50000,9.3603386154,9.4275104965,9.565320276,9.743245771,9.3604336009,9.3814150087,9.5254728551,9.4575666562,9.3748859641,PBC
qve,28,4,3,2,2,0,SOV,_,39,34,5,1.40435541579106,0.552495114325111,50000,10.9281144517,11.0792944651,11.2740693594,11.5407777185,10.9281903788,10.9449838017,11.2392587803,11.0699403456,10.9536735181,PBC
aln,40,114,14,5,2,4,SVO,SVO,179,156,23,1.52437893484237,0.553286888259664,50000,9.195398879,9.2752809034,9.459357547,9.6845736574,9.1955026965,9.218444402,9.4018978744,9.3280899873,9.2041668599,PBC
itv,3,17,1,6,68,6,VSO,_,101,88,13,1.51753050238451,0.553897633485296,50000,7.4421151327,7.4861173315,7.6344703557,7.8086627315,7.4422481555,7.4716161627,7.5929567464,7.5492447077,7.4460782967,PBC
azz,3,20,3,0,4,1,SVO,_,31,27,4,1.60102415225545,0.554778163341274,50000,8.7019438592,8.7897895602,9.0353131584,9.3173241275,8.7020636329,8.7285394343,8.9947984912,8.8824047293,8.7092244716,PBC
aoz,9,115,9,1,4,9,SVO,_,147,128,19,1.2077041074381,0.555382394119166,50000,8.2453294459,8.2858836035,8.3958589604,8.5319820312,8.2454425233,8.2703839255,8.3560188075,8.3234576592,8.2548241381,PBC
ata,7,58,8,0,9,3,SVO,_,85,74,11,1.50705452805598,0.555822737766495,50000,8.3909979805,8.4504514431,8.6207631414,8.8227231734,8.3911175095,8.4175127886,8.5728108177,8.514284205,8.4000970215,PBC
hif,108,11,10,7,2,1,SOV,_,139,121,18,1.20201759472393,0.556055448722158,50000,8.12058826,8.1562228275,8.2517975873,8.3715039163,8.1206998981,8.1453151941,8.2119045002,8.1880809171,8.1277827179,PBC
ade,10,121,9,2,9,10,SVO,_,161,140,21,1.35154008535726,0.558629373452199,50000,8.0597203479,8.0868430147,8.1562198824,8.2453290924,8.0598275308,8.0834275788,8.1255156849,8.1081733792,8.068723226,PBC
mqb,5,33,2,0,2,4,SVO,_,46,40,6,1.39150442533384,0.558629373452199,50000,7.6882491649,7.7097164671,7.7676031336,7.8417433345,7.6883598016,7.7127006409,7.7415214321,7.728631798,7.6964484774,PBC
zab,8,41,4,3,24,4,SVO,_,84,73,11,1.93453623576909,0.560044320359099,50000,9.1664331041,9.245016703,9.4268926169,9.6498153353,9.1665370451,9.1895072756,9.3879370953,9.2973247803,9.1770298316,PBC
mcq,111,38,16,8,10,0,SOV,_,183,159,24,1.64236274743928,0.560576942614533,50000,9.8727744059,9.9741958672,10.1715738585,10.4178178729,9.8728687123,9.8937140666,10.1118522124,10.0157488593,9.8914695588,PBC
nij,10,91,5,5,5,6,SVO,_,122,106,16,1.39166119301705,0.560576942614533,50000,8.551531913,8.593124811,8.6949393385,8.824280033,8.5516370934,8.5748368694,8.6561522987,8.6232179774,8.5629279812,PBC
guz,2,29,0,3,2,2,SVO,_,38,33,5,1.25749760921035,0.561752607831328,50000,11.0048480265,11.1476315547,11.325394584,11.5735026486,11.0049223655,11.0213598877,11.2460600583,11.1335346587,11.0461639706,PBC
por,339,612,89,22,71,44,SVO,SVO,1177,1022,155,1.81843545856264,0.562056878330071,50000,9.572660619,9.6657000222,9.8622489879,10.1042181755,9.5727595176,9.5946182847,9.8010269442,9.7149202738,9.5848764234,PBC
cwt,6,31,4,1,9,2,SVO,_,53,46,7,1.81057732929337,0.563102823751391,50000,9.8204393192,9.9117474884,10.0830231136,10.3030566792,9.8205305289,9.8406902515,10.0544739528,9.9427119714,9.8376081725,PBC
hla,8,61,1,4,3,6,SVO,SVO,83,72,11,1.38661003257793,0.564336444493229,50000,7.9227108469,7.9623272527,8.0802955423,8.2232136436,7.922831835,7.9495196361,8.041039985,8.0071008927,7.9298207509,PBC
kdl,5,63,7,0,4,4,SVO,_,83,72,11,1.26865677942723,0.564336444493229,50000,7.5789681517,7.60565801,7.6838026898,7.7810658504,7.5790861556,7.6050830725,7.6517711218,7.6341286737,7.5841882199,PBC
acf,9,89,13,1,0,1,SVO,_,113,98,15,1.04163633670878,0.564914151287593,50000,7.9717194128,8.0037472427,8.0916003991,8.2017004574,7.9718324817,7.9967563222,8.0572761183,8.0336724831,7.980801988,PBC
tat,96,1,4,10,1,1,SOV,SOV,113,98,15,0.86110213924612,0.564914151287593,50000,10.7375425082,10.8576180165,11.0132405826,11.2340942805,10.7376171237,10.7541134789,10.9698179411,10.8475013842,10.7634153102,PBC
bbr,26,0,4,0,0,0,SOV,_,30,26,4,0.566509506552905,0.566509506552905,50000,8.586091464,8.6292857535,8.7355429608,8.8700105142,8.5861971428,8.6095103946,8.6992385442,8.6610416404,8.599188257,PBC
cjo,1,6,0,1,6,1,SVO,_,15,13,2,1.83892059503159,0.566509506552905,50000,10.6417972839,10.8173299895,11.0943457847,11.434885271,10.6418839765,10.6610649088,11.0432022278,10.8503314175,10.6594224062,PBC
cux,8,35,1,4,9,3,SVO,_,60,52,8,1.82673862713822,0.566509506552905,50000,7.8368368961,7.8776507388,8.0040574919,8.1553005154,7.8369617159,7.8644943077,7.9627396828,7.9277171672,7.8430932097,PBC
dig,12,36,3,1,4,4,SVO,_,60,52,8,1.74202830289618,0.566509506552905,50000,10.1435573456,10.2491626226,10.4308869615,10.6662145805,10.1436447217,10.1629594894,10.3837267871,10.2740894498,10.1600138171,PBC
gug,10,55,5,1,13,6,SVO,SVO,90,78,12,1.75386201847048,0.566509506552905,50000,9.6308473398,9.718361221,9.8929631061,10.1139749651,9.6309420251,9.6518688732,9.8516700549,9.7558067099,9.6422755087,PBC
kri,9,66,7,1,3,4,SVO,_,90,78,12,1.3822341091385,0.566509506552905,50000,7.3331143243,7.3490272506,7.3913666529,7.4465185937,7.3332230684,7.3571260441,7.3677306845,7.3623592735,7.3400466973,PBC
quz,45,6,2,5,1,1,SOV,_,60,52,8,1.30267718204853,0.566509506552905,50000,11.6716149661,11.8710964094,12.0463911986,12.3172473909,11.6716795614,11.6859700687,11.9709275262,11.8022464745,11.7055710359,PBC
xrb,22,4,3,1,0,0,SOV,_,30,26,4,1.21147782520239,0.566509506552905,50000,7.2871942212,7.3064974808,7.3644839039,7.4369965123,7.2873137952,7.313606345,7.3401623416,7.3280153997,7.2939271985,PBC
som,101,65,20,5,2,1,SOV,SOV,194,168,26,1.60000835776978,0.5683625344629,50000,9.7737805055,9.8722444421,10.0666290579,10.3093631848,9.7738754135,9.7948540009,10.0045176605,9.9142409246,9.7845922325,PBC
tsw,9,72,8,0,3,5,SVO,_,97,84,13,1.30992878967756,0.5683625344629,,,,,,,,,,,
nak,3,26,5,0,3,0,SVO,SVO,37,32,5,1.33564665886051,0.571354974427955,50000,7.4108013696,7.4407805726,7.5372684366,7.6538510439,7.4109285734,7.4389600366,7.5004284444,7.4797495042,7.4155228761,PBC
dts,46,3,5,3,2,0,SOV,_,59,51,8,1.18428261788072,0.572580465623769,50000,8.7090346702,8.7624865215,8.8970902483,9.0636358622,8.7091430386,8.7330651138,8.8594285255,8.8050186043,8.7217562252,PBC
hin,194,14,18,14,2,1,SOV,SOV,243,210,33,1.10157102530176,0.573139398055515,50000,9.1215514701,9.1738347384,9.283834616,9.4276418824,9.1216470371,9.1427405973,9.2488508752,9.1984592933,9.1374083419,PBC
enb,9,7,0,0,3,3,SOV,_,22,19,3,1.83713232446862,0.574635697837679,50000,9.6339464403,9.7292941556,9.9266772458,10.170804741,9.6340440731,9.6556256536,9.8841650027,9.7766440969,9.6489863572,PBC
nca,43,12,3,4,2,2,SOV,_,66,57,9,1.60342711991895,0.574635697837679,50000,9.1484313702,9.1975118555,9.2977264654,9.4305595638,9.1485248259,9.1691471143,9.2642291987,9.2180815106,9.1660744103,PBC
ppk,3,30,1,3,5,2,SVO,_,44,38,6,1.58838313347777,0.574635697837679,50000,9.5133791857,9.5998831804,9.7793876861,10.0042773052,9.5134762566,9.5349311711,9.741930706,9.6421208778,9.5236326104,PBC
nso,41,113,10,5,4,10,SVO,SVO,183,158,25,1.63379788574611,0.575296762019833,50000,7.9692621011,8.0194101808,8.1707348463,8.3512400521,7.9693850513,7.9965357486,8.1296645106,8.0781292997,7.9753804086,PBC
tih,6,44,2,6,51,8,VSO,VSO,117,101,16,1.85730289335057,0.575669337036983,50000,8.3341667493,8.3811986076,8.5095089125,8.6666060172,8.3342808753,8.3594679258,8.4711693178,8.4257800853,8.3418434457,PBC
dyo,6,35,5,0,3,2,SVO,SVO,51,44,7,1.48812713463814,0.577004250315725,50000,9.834906869,9.9451287701,10.1580129997,10.4227311018,9.8350009747,9.8558101094,10.1161225671,9.9893125834,9.841995273,PBC
sba,31,108,15,3,5,5,SVO,SVO,167,144,23,1.57720451258895,0.578248452971033,50000,8.3653866204,8.4061571822,8.5140252925,8.6481090628,8.3654978476,8.3900259694,8.4735080157,8.4419746954,8.3753839948,PBC
gkp,68,31,9,5,1,2,SOV,_,116,100,16,1.60223509586521,0.57879462463212,50000,8.838554278,8.8979788867,9.0467563002,9.2291965484,8.8386628301,8.8626290495,8.9944201767,8.945225901,8.8509026975,PBC
ken,12,60,5,2,9,6,SVO,_,94,81,13,1.71329389171051,0.57976367540648,50000,9.5321154246,9.5992873057,9.728606143,9.8986472157,9.5322066386,9.5523510246,9.6872158129,9.6229131089,9.5479741269,PBC
mlt,10,101,10,3,7,6,SVO,_,137,118,19,1.41311187408044,0.580787538580049,50000,10.0570116677,10.1609289915,10.3408342875,10.5746205965,10.0570990984,10.0764280932,10.2977598254,10.1857367026,10.0671677101,PBC
akh,24,3,3,2,4,0,SOV,_,36,31,5,1.57134513973024,0.581321498763703,50000,8.5315152208,8.5690685727,8.6618314661,8.7796882405,8.5316209592,8.5549249741,8.6235038343,8.5968642844,8.5460442129,PBC
amn,70,15,10,4,8,1,SOV,SOV,108,93,15,1.63569814041209,0.581321498763703,50000,9.6635607423,9.7683581101,9.9916293267,10.2612054805,9.6636611141,9.685849724,9.9223741293,9.8268249816,9.6770964294,PBC
ozm,6,25,1,0,0,4,SVO,_,36,31,5,1.29197556397856,0.581321498763703,50000,8.6094710796,8.6610185734,8.7909549415,8.9525340448,8.6095792025,8.6334494432,8.751421398,8.7018132062,8.6193084023,PBC
rim,9,62,4,2,3,6,SVO,SVO,86,74,12,1.4500536062898,0.583019416734701,50000,10.3147759689,10.4548616574,10.7020626371,11.0053395097,10.3148669425,10.3349865405,10.6192395238,10.4978744227,10.3299751445,PBC
alz,4,86,10,2,2,3,SVO,_,107,92,15,1.109383459715,0.584728118257474,50000,9.0957934739,9.1621862997,9.3153775072,9.5060181637,9.0958964343,9.1186366816,9.266754137,9.2052606317,9.1078751402,PBC
jmc,4,48,6,1,9,3,SVO,_,71,61,10,1.57408250606684,0.586447703445391,50000,10.228936753,10.356932657,10.5851908355,10.868459404,10.2290275857,10.2491130034,10.5118991812,10.3965792978,10.245407093,PBC
kyq,15,42,3,0,4,7,SVO,SVO,71,61,10,1.67809834982296,0.586447703445391,50000,8.3811650779,8.4264079944,8.5462778098,8.6946240352,8.3812766254,8.4058919638,8.5076663221,8.4663880352,8.3894917354,PBC
gbo,34,42,8,1,3,4,SVO,_,92,79,13,1.7821928706072,0.587644614298042,50000,8.8110174501,8.852942168,8.9468839151,9.0690777604,8.8111164691,8.8329529263,8.9083611989,8.8766423982,8.8257510585,PBC
fiz,48,67,10,4,6,6,SVO,_,141,121,20,1.84348747471926,0.589047709789055,,,,,,,,,,,
acd,5,30,3,1,1,2,SVO,_,42,36,6,1.45014490266315,0.591672778582328,50000,7.6845289451,7.7106850062,7.7862734197,7.8805406359,7.6846459125,7.7104025345,7.7554357825,7.7378891424,7.6917805966,PBC
amp,14,7,2,1,3,1,SOV,SOV,28,24,4,1.96059274829428,0.591672778582328,50000,10.2119115158,10.3321457205,10.5398187614,10.8038260839,10.2119998998,10.2315436941,10.5023479522,10.3627192704,10.2287737394,PBC
bzh,11,37,3,1,0,4,SVO,_,56,48,8,1.45809760356752,0.591672778582328,50000,8.4293764857,8.4711280802,8.5804454626,8.7165239174,8.4294869502,8.4538497777,8.5439462507,8.5069677371,8.4420926385,PBC
ipi,10,2,1,1,0,0,SOV,_,14,12,2,1.29169199713806,0.591672778582328,50000,8.9675412086,9.0101439932,9.1014856476,9.2215491732,8.967637456,8.9888591509,9.0631815631,9.0311737559,8.9866720432,PBC
kne,4,29,1,3,27,6,SVO,_,70,60,10,1.87888196089349,0.591672778582328,50000,8.1966034326,8.2562011648,8.4314700524,8.6388772445,8.1967249655,8.2235730931,8.3929978374,8.3232878554,8.2029350386,PBC
mkd,69,116,8,15,1,8,SVO,SVO,217,186,31,1.66193214540936,0.591672778582328,50000,9.4954627039,9.586208222,9.779024643,10.0174701235,9.4955616266,9.517428308,9.739723467,9.6344785006,9.5077954258,PBC
mps,29,1,4,1,0,0,SOV,_,35,30,5,0.875527335267835,0.591672778582328,50000,7.9166926029,7.9556020882,8.0713694531,8.2116716162,7.9168135209,7.9434809206,8.0303491629,7.9995208396,7.9215402886,PBC
mzw,16,42,4,1,2,5,SVO,_,70,60,10,1.67089769935718,0.591672778582328,50000,7.9059704032,7.935704348,8.0178685576,8.1209397953,7.9060839152,7.9310947662,7.9847002862,7.963881329,7.9140658413,PBC
pah,6,10,1,2,2,0,SVO,_,21,18,3,1.88140999643588,0.591672778582328,50000,8.2941247014,8.3664614307,8.5824924727,8.8323138741,8.2942489229,8.3217004394,8.5362784712,8.4518717352,8.3005328828,PBC
ssg,8,70,8,1,0,4,SVO,_,91,78,13,1.17757693485641,0.591672778582328,50000,8.1814376519,8.2165528492,8.3077527514,8.423257986,8.1815465517,8.2055623736,8.2741544966,8.245516685,8.1901697525,PBC
twi,21,39,4,1,0,5,SVO,_,70,60,10,1.58672597568185,0.591672778582328,50000,8.6975493877,8.7587196574,8.913167019,9.1026539349,8.6976583858,8.7217346394,8.8679699543,8.8080324398,8.7046244319,PBC
xsi,6,22,4,0,2,1,SVO,SVO,35,30,5,1.59736099939218,0.591672778582328,50000,7.8700323092,7.8938223504,7.9576238396,8.0388850224,7.8701429634,7.8944860489,7.9280452549,7.9147257861,7.8816686162,PBC
zao,2,22,0,2,12,4,SVO,_,42,36,6,1.74643538423889,0.591672778582328,50000,7.7442489839,7.7777916436,7.8772524148,7.9992145215,7.7443688687,7.7708020902,7.8402314089,7.8149630789,7.7502086248,PBC
zpm,1,9,1,0,8,2,SVO,_,21,18,3,1.7956828983511,0.591672778582328,50000,8.3603764901,8.4112170633,8.5508092176,8.7205592964,8.3604914579,8.3858716797,8.5124586083,8.4603365504,8.3682966481,PBC
sso,42,169,19,3,4,14,SVO,_,251,215,36,1.50144620074442,0.59314210887644,,,,,,,,,,,
bzj,6,94,13,0,1,4,SVO,_,118,101,17,1.05427996971897,0.594793659029748,50000,7.7897238486,7.8127781153,7.8714885212,7.9478997431,7.7898299617,7.8131976459,7.8406837607,7.8303721368,7.7968664734,PBC
box,8,67,9,1,2,3,SVO,_,90,77,13,1.3172732265984,0.595761096670324,50000,7.6969034148,7.7218043312,7.7914293503,7.8792806023,7.6970173615,7.7221072608,7.7594916407,7.7457947858,7.7052538047,PBC
nas,57,15,7,5,5,1,SOV,SOV,90,77,13,1.6701991502764,0.595761096670324,50000,10.3470682306,10.4882936482,10.7275881611,11.0262709988,10.3471567597,10.3667384091,10.6908827779,10.5233162745,10.3599046246,PBC
pao,50,12,5,4,3,2,SOV,SOV,76,65,11,1.62191583615424,0.596510991708588,,,,,,,,,,,
nch,13,42,7,1,4,2,SVO,_,69,59,10,1.6993283329094,0.596999516760455,50000,8.8524939901,8.9303273876,9.1310768473,9.3699527916,8.8526061356,8.8773895915,9.0845458969,8.9981966207,8.8602602072,PBC
nyn,6,45,6,0,2,3,SVO,SVO,62,53,9,1.35890878061828,0.597597776437998,50000,11.0213893785,11.1746612996,11.364924788,11.6282755909,11.0214639825,11.0379636881,11.3037438367,11.1601030196,11.0474007325,PBC
mta,3,14,0,5,30,3,VSO,_,55,47,8,1.75173967250965,0.598347422091042,50000,7.6673038774,7.7031259952,7.8137581475,7.9477564131,7.6674276123,7.6947215238,7.7774729786,7.7463025472,7.6729437616,PBC
mmx,7,78,8,1,3,6,SVO,_,103,88,15,1.30613625502643,0.598798183744287,50000,8.558297425,8.5949274521,8.6829949196,8.7959494137,8.5584010666,8.5812408306,8.6448091676,8.6200954284,8.5717970702,PBC
