filename,Hrate.trigrams,Hrate.trigrams.norm
writing_blt_0001.txt,2.0569422245025635,0.3333820402622223
writing_cmn_0001.txt,8.924328804016113,0.9941015243530273
writing_mya_0001.txt,1.732197880744934,0.2886996567249298
writing_iii_0001.txt,8.304143905639648,0.9905102849006653
writing_zgh_0001.txt,2.0118601322174072,0.36633533239364624
writing_cmn_0002.txt,8.900203704833984,0.9939701557159424
writing_heb_0001.txt,1.0395869016647339,0.20267683267593384
unclassified_voy_0001.txt,0.48005175590515137,0.11107353121042252
writing_ben_0001.txt,2.414811134338379,0.39266830682754517
writing_div_0001.txt,1.42983877658844,0.24408386647701263
writing_khm_0001.txt,2.2503011226654053,0.3569764196872711
writing_hye_0001.txt,1.0800126791000366,0.18766877055168152
writing_azj_0001.txt,1.2781800031661987,0.23274114727973938
writing_tgl_0001.txt,0.28981703519821167,0.056966908276081085
writing_ibb_0001.txt,1.495367169380188,0.291535347700119
writing_ell_0001.txt,2.1330718994140625,0.3345974087715149
writing_hin_0001.txt,2.203023672103882,0.35822996497154236
writing_gaz_0001.txt,1.2383626699447632,0.23269058763980865
writing_tam_0001.txt,2.0900392532348633,0.3598951995372772
writing_ike_0001.txt,2.628096103668213,0.3955678641796112
writing_epo_0001.txt,1.2294657230377197,0.2294827550649643
writing_zul_0001.txt,1.1880083084106445,0.22477158904075623
writing_pan_0001.txt,2.567526340484619,0.41348662972450256
writing_tir_0001.txt,5.630847454071045,0.772894561290741
writing_kor_0001.txt,8.245280265808105,0.9935020804405212
writing_vai_0001.txt,5.206894397735596,0.7303531765937805
writing_aii_0001.txt,1.429747462272644,0.27050870656967163
writing_tel_0001.txt,2.1434743404388428,0.34971049427986145
writing_jav_0001.txt,2.273500442504883,0.3833419978618622
writing_lao_0001.txt,1.4389030933380127,0.23981715738773346
writing_eus_0001.txt,1.649594783782959,0.321603387594223
writing_kan_0001.txt,2.542020082473755,0.41200175881385803
writing_kkh_0001.txt,1.9990485906600952,0.3189910352230072
writing_chr_0001.txt,2.5514702796936035,0.3930264711380005
writing_guj_0001.txt,1.7856603860855103,0.29333412647247314
writing_sin_0001.txt,2.6874818801879883,0.4328048825263977
writing_arb_0001.txt,1.3907380104064941,0.24517524242401123
writing_kat_0001.txt,1.1131830215454102,0.20153358578681946
writing_tha_0001.txt,1.6327025890350342,0.2691524028778076
writing_csw_0001.txt,2.3451313972473145,0.39085522294044495
writing_kal_0001.txt,1.1648306846618652,0.2309158742427826
writing_rus_0001.txt,1.0726845264434814,0.19420158863067627
writing_jpn_0001.txt,8.90706729888916,0.9940921664237976
writing_bod_0001.txt,0.9361105561256409,0.15847772359848022
writing_eng_0001.txt,0.7207939028739929,0.13543850183486938
writing_azj_0002.txt,1.4425147771835327,0.2611566483974457
writing_bos_0001.txt,1.0492753982543945,0.1971607655286789
writing_bos_0002.txt,1.2018505334854126,0.22739052772521973
writing_lug_0001.txt,1.5423818826675415,0.28981634974479675
writing_mal_0001.txt,2.7294626235961914,0.4305247962474823
writing_jav_0002.txt,1.681663990020752,0.3159877359867096
