ISO	SOV	SVO	OSV	OVS	VSO	VOS	MAX	WALS
poe	4	27	6	5	16	7	SVO	_
poh	8	29	4	5	3	8	SVO	_
poi	9	31	0	2	3	7	SVO	SVO
pol	154	230	50	32	38	44	SVO	SVO
por	265	432	78	22	68	37	SVO	SVO
ppk	3	23	1	3	5	2	SVO	_
ppo	16	3	6	3	2	0	SOV	SOV
prf	4	24	4	10	37	13	VSO	_
pri	0	21	3	0	1	5	SVO	_
prk	8	62	5	4	8	2	SVO	_
prs	131	18	17	46	5	6	SOV	_
pse	6	48	3	3	1	1	SVO	_
ptp	8	34	5	1	1	2	SVO	SVO
ptu	10	19	1	3	9	6	SVO	_
pwg	40	18	15	4	5	4	SOV	SOV
qej	10	5	7	6	2	2	SOV	_
qub	36	9	13	6	5	3	SOV	_
quc	10	42	4	6	8	11	SVO	_
quf	18	5	0	1	2	0	SOV	_
qug	26	1	4	2	0	0	SOV	_
quh	37	6	3	1	2	0	SOV	_
quj	3	21	0	3	2	7	SVO	_
qul	40	2	8	2	1	0	SOV	_
qup	25	11	2	2	3	0	SOV	_
qut	5	26	2	2	4	4	SVO	_
quw	71	3	5	4	0	0	SOV	_
quy	40	19	10	7	7	1	SOV	_
quz	38	6	2	5	1	1	SOV	_
qvc	9	1	5	0	0	1	SOV	_
qve	23	4	3	2	2	0	SOV	_
qvh	9	2	6	3	1	2	SOV	SOV
qvi	9	0	3	2	0	0	SOV	SOV
qvm	10	10	10	2	2	3	SOV	_
qvn	8	7	1	2	2	0	SOV	_
qvo	45	2	5	3	3	2	SOV	_
qvs	24	11	6	8	3	3	SOV	_
qvw	13	8	5	2	7	5	SOV	_
qvz	48	2	12	11	3	1	SOV	_
qwh	15	4	7	2	4	0	SOV	_
qxh	10	0	3	0	2	0	SOV	_
qxn	16	3	4	5	2	2	SOV	_
qxo	13	5	7	6	2	3	SOV	_
qxr	24	3	4	4	1	1	SOV	_
rai	1	36	3	0	2	2	SVO	_
rim	9	55	4	2	3	6	SVO	SVO
rkb	11	3	1	3	2	2	SOV	SOV
rmo	10	21	6	0	11	0	SVO	_
rmy	19	135	8	5	14	19	SVO	_
ron	34	77	10	14	7	3	SVO	SVO
roo	18	4	2	2	1	2	SOV	_
rop	4	24	5	1	6	2	SVO	_
rro	64	15	7	12	5	1	SOV	_
run	4	31	5	0	3	5	SVO	_
rus	35	309	53	16	32	22	SVO	SVO
rwo	23	0	0	1	0	0	SOV	SOV
sab	2	4	3	0	0	1	SVO	_
sag	4	46	2	0	1	2	SVO	SVO
sas	3	51	4	2	6	3	SVO	_
sba	28	62	14	3	5	4	SVO	SVO
sbd	29	9	1	2	5	0	SOV	_
sbl	8	36	1	14	27	11	SVO	_
sda	2	30	3	7	18	11	SVO	_
sey	21	5	11	5	1	1	SOV	_
sgb	2	12	1	3	19	5	VSO	_
sgw	63	16	12	13	6	3	SOV	SOV
sgz	5	35	8	0	3	3	SVO	_
shi	1	13	0	0	12	3	SVO	No dominant order
shk	8	25	1	21	2	8	SVO	SVO
shp	22	6	10	1	3	2	SOV	SOV
shu	7	57	6	0	2	6	SVO	_
sig	5	16	4	2	0	4	SVO	_
sil	11	20	5	0	1	5	SVO	_
sim	14	7	11	4	3	2	SOV	_
sja	30	8	2	4	2	1	SOV	SOV
sld	15	33	0	2	3	1	SVO	SVO
slk	38	72	22	8	14	5	SVO	_
sll	13	2	3	5	1	1	SOV	SOV
slv	33	48	24	6	17	8	SVO	SVO
sme	5	127	23	2	1	3	SVO	SVO
smk	4	15	3	6	27	14	VSO	_
sml	4	10	3	9	19	8	VSO	_
smo	0	6	0	1	8	5	VSO	No dominant order
sna	5	54	2	1	3	8	SVO	SVO
snc	34	3	9	3	0	0	SOV	SOV
snd	126	11	17	11	6	9	SOV	_
snn	6	0	0	6	1	0	SOV	_
snp	69	16	19	24	12	9	SOV	SOV
sny	23	2	1	0	0	0	SOV	_
som	81	42	20	4	2	1	SOV	SOV
soq	42	5	7	5	2	0	SOV	_
soy	59	17	12	9	2	6	SOV	_
spa	217	366	71	73	80	40	SVO	SVO
spp	14	7	2	6	2	1	SOV	SOV
sps	3	51	2	5	5	4	SVO	SVO
spy	8	6	3	1	3	3	SOV	_
sri	17	0	1	1	1	2	SOV	_
srm	1	14	1	0	1	1	SVO	_
srn	5	41	8	0	2	1	SVO	_
srp	47	79	29	4	12	6	SVO	_
srq	6	4	3	2	0	1	SOV	SOV
ssd	52	15	16	10	2	0	SOV	SOV
ssg	7	44	8	1	0	4	SVO	_
sso	36	111	18	3	4	13	SVO	_
ssw	2	14	0	1	3	0	SVO	No dominant order
ssx	0	0	0	1	0	0	OVS	_
stn	14	37	8	1	6	1	SVO	_
stp	2	6	3	5	2	1	SVO	_
sua	1	10	0	0	4	2	SVO	SVO
sue	48	8	5	9	3	3	SOV	SOV
suk	0	11	0	1	2	1	SVO	SVO
sun	5	35	12	4	1	6	SVO	SVO
sur	3	43	6	0	2	1	SVO	SVO
sus	45	11	2	1	0	2	SOV	SOV
swe	82	706	94	22	159	32	SVO	SVO
swg	67	49	16	3	19	7	SOV	_
swh	9	38	6	1	4	10	SVO	SVO
swk	8	46	0	1	9	2	SVO	_
swp	29	10	31	4	0	2	OSV	_
sxb	15	40	8	0	8	14	SVO	_
sxn	12	54	5	3	2	3	SVO	_
szb	32	8	3	4	1	1	SOV	_
tab	53	3	5	10	1	0	SOV	_
tac	2	2	0	1	0	0	SOV	SOV
taq	3	7	3	3	6	5	SVO	VSO
tar	9	21	2	2	1	1	SVO	SOV
tat	71	1	4	10	1	1	SOV	SOV
tav	5	2	2	3	1	1	SOV	_
tbc	50	5	8	4	3	1	SOV	SOV
tbg	34	8	5	1	4	1	SOV	SOV
tbo	20	11	32	6	4	3	OSV	SOV
tby	1	2	0	0	0	0	SVO	_
tbz	25	48	2	1	4	4	SVO	_
tca	15	16	4	4	6	1	SVO	No dominant order
tcc	8	29	1	5	15	7	SVO	_
tcw	10	3	3	8	1	2	SOV	_
tcz	39	4	5	17	4	3	SOV	_
tee	8	23	4	2	9	5	SVO	No dominant order
tem	3	85	15	0	0	3	SVO	SVO
teo	2	44	2	2	39	9	SVO	VSO
ter	3	3	2	0	4	7	VOS	_
tfr	7	1	5	8	1	4	OVS	SOV
tgk	52	2	9	11	0	0	SOV	SOV
tgl	12	73	11	29	130	33	VSO	VSO
tgp	14	55	4	0	4	4	SVO	_
thk	9	28	4	2	6	5	SVO	_
tih	6	35	2	5	31	8	SVO	VSO
tik	11	24	2	1	2	0	SVO	No dominant order
tim	25	12	6	13	9	5	SOV	_
tir	53	12	9	32	7	2	SOV	SOV
tku	7	36	7	2	1	6	SVO	_
tlb	5	41	4	0	10	5	SVO	SOV
tlf	6	2	2	3	0	0	SOV	SOV
tna	32	7	6	3	2	1	SOV	No dominant order
tob	8	17	3	2	0	1	SVO	No dominant order
toc	9	20	2	1	5	5	SVO	_
toh	32	56	4	4	0	2	SVO	_
toj	3	7	2	0	1	2	SVO	_
too	5	34	4	3	1	5	SVO	SVO
top	10	25	6	3	5	2	SVO	_
tos	5	17	4	2	5	4	SVO	_
tot	9	36	10	3	3	8	SVO	_
tpi	2	30	3	0	1	2	SVO	_
tpm	6	26	5	1	1	2	SVO	_
tpt	13	29	5	1	5	7	SVO	SVO
tpz	5	25	4	1	3	1	SVO	_
trc	0	4	0	0	9	2	VSO	VSO
trn	6	32	6	3	7	8	SVO	_
trq	1	12	0	3	12	5	SVO	_
tsn	22	51	6	1	2	2	SVO	_
tso	23	49	3	3	2	2	SVO	_
tsw	8	44	7	0	3	4	SVO	_
tsz	39	13	13	4	1	1	SOV	SVO
ttc	10	47	5	7	4	11	SVO	_
tte	32	8	6	7	9	9	SOV	_
tuc	8	34	5	0	1	4	SVO	_
tue	26	3	3	3	0	0	SOV	SOV
tuf	16	1	2	0	1	0	SOV	_
tum	8	60	6	4	1	8	SVO	_
tuo	17	4	1	3	3	1	SOV	_
twi	17	31	4	1	0	5	SVO	_
twu	5	31	2	2	2	0	SVO	_
txu	6	4	6	1	1	3	SOV	SOV
tyv	111	9	21	44	0	3	SOV	SOV
tzj	20	61	10	5	14	10	SVO	No dominant order
tzo	14	59	9	5	13	16	SVO	_
ubr	58	13	7	3	1	0	SOV	_
udu	11	68	2	4	4	2	SVO	_
uig	115	10	13	25	11	5	SOV	SOV
ukr	39	83	23	15	34	16	SVO	SVO
upv	8	40	3	2	1	9	SVO	_
ura	7	0	1	5	1	1	SOV	OVS
