ISO	SOV	SVO	OSV	OVS	VSO	VOS	MAX	WALS
ckk	2	11	1	1	1	2	SVO	_
cko	4	29	5	0	1	0	SVO	SVO
ckw	4	12	0	0	4	2	SVO	_
cle	5	17	1	1	12	9	SVO	VOS
cme	8	29	2	3	3	4	SVO	SVO
cmn	44	112	6	0	3	5	SVO	SVO
cnh	34	11	21	8	3	0	SOV	SOV
cni	0	1	0	1	2	1	VSO	No dominant order
cnk	38	7	24	17	4	4	SOV	_
cnl	0	1	0	0	1	1	SVO	_
cnm	4	7	6	4	4	5	SVO	_
cnt	0	5	0	0	6	0	VSO	_
cnw	20	6	12	23	4	4	OVS	_
coe	12	3	3	21	6	5	OVS	VSO
cof	18	4	4	3	0	0	SOV	SOV
cok	4	8	1	3	1	0	SVO	_
con	48	8	10	6	7	0	SOV	_
cot	3	12	1	2	2	1	SVO	_
cpa	1	8	1	5	14	5	VSO	VSO
cpb	1	5	0	2	6	1	VSO	_
cpc	1	0	1	0	0	6	VOS	_
cpu	3	6	0	2	4	3	SVO	_
crm	15	44	2	2	2	3	SVO	_
crn	10	39	9	2	9	3	SVO	VSO
crt	2	8	2	1	4	1	SVO	_
crx	26	6	6	2	2	1	SOV	_
csk	9	24	5	0	6	7	SVO	_
cso	2	15	3	8	16	8	VSO	_
csy	27	1	11	12	0	3	SOV	_
cta	0	1	1	3	11	1	VSO	_
ctd	32	7	12	17	3	0	SOV	_
ctp	1	2	1	4	5	0	VSO	VSO
ctu	22	61	14	6	8	8	SVO	_
cub	5	11	3	3	7	1	SVO	OVS
cuc	1	13	0	4	16	10	VSO	_
cui	2	6	2	1	3	2	SVO	SOV
cuk	5	0	6	0	2	0	OSV	_
cut	2	8	1	2	10	5	VSO	_
cux	8	23	1	4	9	3	SVO	_
cwt	6	25	4	1	6	2	SVO	_
cya	4	18	1	7	10	5	SVO	_
cym	49	278	17	25	118	31	SVO	VSO
czt	26	8	20	19	3	9	SOV	_
daa	13	25	6	1	1	3	SVO	_
dad	44	7	4	2	0	1	SOV	_
daf	4	0	2	1	1	0	SOV	SOV
dah	16	5	4	16	2	3	SOV	_
dan	23	340	47	6	78	2	SVO	SVO
ded	47	15	10	5	2	2	SOV	_
des	14	2	3	4	2	0	SOV	SOV
deu	1043	787	224	52	349	81	SOV	No dominant order
dgi	12	47	0	0	4	1	SVO	_
dgr	25	5	1	11	1	4	SOV	_
dgz	38	9	14	11	2	1	SOV	SOV
dhm	33	43	5	1	4	2	SVO	_
dig	11	33	3	1	4	4	SVO	_
dik	25	19	13	7	10	2	SOV	_
dip	34	22	6	5	8	1	SOV	No dominant order
dje	50	16	11	0	0	4	SOV	No dominant order
djk	4	11	6	1	1	1	SVO	SVO
djr	11	22	1	0	2	3	SVO	No dominant order
dnj	5	2	0	0	1	0	SOV	_
dob	3	0	1	0	0	0	SOV	_
dop	8	29	3	1	1	11	SVO	_
dtp	5	14	1	3	18	9	VSO	_
dts	34	3	4	3	2	0	SOV	_
dug	11	20	3	2	3	4	SVO	_
dur	4	22	1	1	2	2	SVO	_
dwr	86	3	13	6	1	0	SOV	_
dww	48	15	18	3	3	2	SOV	_
dyi	36	10	9	3	1	0	SOV	_
dyo	6	31	5	0	3	2	SVO	SVO
dyu	43	14	2	2	1	0	SOV	_
ell	94	185	7	50	51	44	SVO	No dominant order
emp	54	6	7	10	3	1	SOV	_
enb	9	7	0	0	3	3	SOV	_
eng	41	1531	243	22	67	14	SVO	SVO
enm	12	331	47	8	18	14	SVO	_
epo	30	125	19	3	0	3	SVO	_
erv	10	4	1	10	0	5	SOV	_
ese	12	3	1	1	2	0	SOV	SOV
esk	4	15	1	0	3	2	SVO	_
est	116	224	41	10	33	9	SVO	SVO
eus	71	122	20	39	70	25	SVO	SOV
ewe	12	38	6	5	7	10	SVO	SVO
faa	13	1	4	2	0	1	SOV	_
fai	37	12	8	7	5	0	SOV	_
fal	5	45	2	3	5	4	SVO	_
fao	9	122	16	2	34	1	SVO	_
fij	6	37	3	4	10	26	SVO	No dominant order
fin	103	298	58	10	21	9	SVO	SVO
fiz	36	31	9	4	6	6	SOV	_
flm	39	11	20	9	2	3	SOV	_
for	19	2	1	3	0	1	SOV	SOV
fra	277	601	62	8	23	8	SVO	SVO
fub	7	64	4	1	1	3	SVO	SVO
fuf	7	76	4	2	5	7	SVO	_
fuv	8	45	8	3	3	3	SVO	_
gag	64	100	11	13	2	12	SVO	_
gah	35	9	4	5	3	5	SOV	SOV
gaw	29	2	5	2	1	0	SOV	_
gbi	13	9	6	1	4	5	SOV	_
gbo	28	29	7	1	3	4	SVO	_
gde	5	25	3	1	12	2	SVO	VSO
gdn	21	6	4	7	6	1	SOV	_
gdr	59	17	3	2	4	1	SOV	_
gej	14	48	5	2	2	3	SVO	_
gfk	3	47	4	0	3	1	SVO	_
ghs	64	17	10	16	12	5	SOV	SOV
gil	1	34	7	2	7	20	SVO	VOS
giz	8	38	4	0	0	2	SVO	_
gkn	21	36	3	1	6	2	SVO	SVO
gkp	45	24	9	4	1	2	SOV	_
gle	19	30	2	12	66	15	VSO	VSO
gmv	93	6	10	16	2	1	SOV	_
gnd	3	8	1	0	0	2	SVO	_
gng	2	24	1	0	1	2	SVO	_
gnw	6	27	3	1	5	2	SVO	_
gof	84	7	14	11	1	0	SOV	_
gog	6	34	4	1	2	1	SVO	_
gor	9	65	1	2	4	5	SVO	_
grc	73	199	19	33	54	81	SVO	_
grk	19	77	8	8	25	28	SVO	_
gso	3	51	2	0	0	0	SVO	_
gub	2	3	0	4	3	3	OVS	VSO
guc	3	4	1	4	5	2	VSO	VSO
gug	9	36	5	1	10	6	SVO	SVO
guh	3	4	0	0	1	1	SVO	SOV
gui	7	31	4	3	7	6	SVO	_
guj	21	5	4	0	1	2	SOV	SOV
gul	7	37	7	1	2	0	SVO	_
gum	35	5	11	13	1	1	SOV	_
gun	22	31	16	13	3	4	SVO	_
guo	4	4	1	1	0	0	SOV	_
gur	7	39	1	0	4	2	SVO	_
gux	5	63	4	0	1	5	SVO	_
guz	2	24	0	3	2	2	SVO	_
gvc	10	3	4	6	2	1	SOV	_
gvf	11	3	3	6	1	0	SOV	SOV
gvn	35	4	1	0	0	1	SOV	SOV
gwi	19	9	4	11	6	2	SOV	_
gym	6	4	3	5	1	0	SOV	SOV
gyr	7	23	3	7	6	8	SVO	_
hae	58	7	8	7	1	2	SOV	SOV
hag	6	24	1	0	0	2	SVO	_
hak	14	46	1	2	4	2	SVO	SVO
hat	10	43	5	0	5	4	SVO	_
hau	4	79	7	0	1	5	SVO	SVO
haw	3	21	2	2	35	3	VSO	VSO
hay	10	27	7	1	2	6	SVO	SVO
hch	9	18	5	3	4	1	SVO	SOV
heh	8	31	6	4	1	7	SVO	SVO
hif	75	9	10	6	2	1	SOV	_
hig	3	26	6	2	0	3	SVO	_
hil	4	43	7	5	42	14	SVO	VSO
hin	128	9	17	13	1	1	SOV	SOV
hix	0	0	0	0	0	0	SOV	OVS
hla	6	46	1	4	3	6	SVO	SVO
hlt	35	8	16	17	3	1	SOV	_
hmo	19	4	19	0	0	0	SOV	_
hnn	6	30	5	11	39	9	VSO	_
hns	88	12	6	7	2	0	SOV	_
hop	100	7	3	0	3	1	SOV	SOV
hot	24	35	7	2	7	7	SVO	_
hrv	102	144	44	17	33	23	SVO	SVO
hto	28	5	5	2	1	0	SOV	SOV
hub	9	5	4	1	1	4	SOV	_
hui	60	7	12	14	4	3	SOV	_
hun	17	50	11	4	15	16	SVO	No dominant order
hus	23	44	16	6	10	15	SVO	_
huu	17	1	5	2	1	0	SOV	SOV
huv	9	31	0	1	5	6	SVO	SVO
hva	10	21	4	2	6	5	SVO	_
hvn	2	12	2	4	16	5	VSO	_
hwc	2	38	5	1	1	2	SVO	_
hye	56	102	12	12	5	5	SVO	No dominant order
ian	24	2	8	10	1	1	SOV	SOV
iba	1	63	1	6	2	1	SVO	SVO
ibo	10	80	11	0	2	2	SVO	SVO
ifb	3	28	5	8	19	9	SVO	_
ifk	9	24	10	7	20	13	SVO	_
ifu	2	22	1	6	22	7	SVO	_
ify	4	15	10	8	30	13	VSO	_
ign	2	12	5	6	4	5	SVO	_
ike	12	1	2	0	0	0	SOV	_
ilo	2	21	1	4	28	9	VSO	VSO
imo	32	8	6	13	3	2	SOV	_
inb	3	1	6	15	2	1	OVS	_
ind	70	729	58	42	60	46	SVO	SVO
ino	27	9	9	16	5	5	SOV	_
iou	24	10	9	7	5	4	SOV	_
ipi	9	2	1	1	0	0	SOV	_
irk	40	5	13	3	0	2	SOV	SOV
iry	5	33	8	16	17	7	SVO	_
isl	11	108	10	2	22	4	SVO	SVO
ita	97	189	22	4	9	9	SVO	SVO
itv	3	16	1	4	41	6	VSO	_
iws	28	11	2	0	2	1	SOV	_
ixi	2	13	3	4	12	4	SVO	VSO
ixl	6	28	5	2	24	9	SVO	_
izr	35	34	3	0	7	3	SOV	_
jac	10	19	7	3	7	9	SVO	VSO
jae	19	68	5	1	1	10	SVO	SVO
jam	10	44	6	2	2	2	SVO	_
jav	3	25	2	7	3	2	SVO	_
jbu	11	20	8	3	5	5	SVO	SVO
jic	5	8	2	4	3	2	SVO	_
jiv	33	4	4	8	3	2	SOV	SOV
jmc	4	38	6	1	7	3	SVO	_
jpn	38	4	4	9	0	0	SOV	SOV
jvn	5	37	6	3	2	1	SVO	_
kaa	77	2	8	4	0	0	SOV	SOV
kac	14	2	8	12	0	0	SOV	SOV
kal	39	6	6	4	0	0	SOV	SOV
kan	54	6	9	10	2	1	SOV	SOV
kao	53	11	3	3	0	1	SOV	SOV
kaq	21	9	7	12	5	2	SOV	_
kaz	64	4	4	9	2	1	SOV	_
kbc	3	17	1	4	3	2	SVO	SVO
kbh	23	5	3	1	2	2	SOV	No dominant order
kbm	11	20	1	0	4	1	SVO	_
kbp	4	18	9	2	3	4	SVO	SVO
kbr	27	3	9	18	3	3	SOV	_
kdl	5	42	6	0	4	4	SVO	_
kek	5	34	4	3	2	8	SVO	_
ken	12	43	5	2	6	6	SVO	_
kew	64	4	12	12	4	3	SOV	SOV
kez	10	22	5	3	4	2	SVO	_
kgf	69	17	14	20	9	5	SOV	_
kgk	3	5	3	0	1	3	SVO	_
kgp	14	2	2	2	0	0	SOV	SOV
khk	131	9	25	15	3	2	SOV	SOV
khz	38	5	9	2	0	3	SOV	_
kia	5	37	5	0	1	2	SVO	_
kik	3	55	2	1	6	2	SVO	SVO
kin	8	27	4	0	3	4	SVO	SVO
kir	67	5	14	14	0	0	SOV	_
kjb	1	9	2	7	9	1	SVO	_
kjh	42	3	7	8	0	4	SOV	_
kjs	54	11	6	14	5	9	SOV	_
kki	5	35	1	1	3	6	SVO	_
kkj	5	38	2	2	3	4	SVO	_
kma	7	35	5	0	2	3	SVO	SVO
kmh	13	4	8	5	0	1	SOV	_
kmo	53	5	3	3	1	0	SOV	SOV
kmr	77	18	14	8	3	1	SOV	SOV
kms	22	7	7	8	6	2	SOV	SOV
kmu	26	7	11	12	6	1	SOV	_
kne	4	25	1	3	22	6	SVO	_
kng	9	62	6	1	1	4	SVO	SVO
knj	0	2	0	4	1	7	VOS	_
knk	39	12	3	1	3	1	SOV	_
kno	5	3	1	0	0	0	SOV	_
knv	78	13	4	5	3	0	SOV	_
kor	134	22	8	18	4	3	SOV	SOV
kpf	39	7	4	7	4	3	SOV	_
kpg	7	43	2	4	4	1	SVO	_
kpj	15	5	2	1	2	1	SOV	SOV
kpr	11	1	0	1	0	0	SOV	_
kpv	11	63	12	4	1	4	SVO	SVO
kpw	15	5	5	8	0	2	SOV	SOV
kpx	42	11	5	3	5	1	SOV	SOV
kpz	14	22	5	3	48	12	VSO	VSO
kqp	10	45	3	4	3	5	SVO	_
kqy	66	11	32	36	3	6	SOV	_
krc	62	2	6	8	2	0	SOV	SOV
kri	7	32	7	1	3	4	SVO	_
krj	5	26	5	6	58	13	VSO	_
ksd	3	69	6	1	2	0	SVO	SVO
ksr	38	16	5	4	0	1	SOV	_
kss	6	21	1	1	2	1	SVO	_
ktb	74	14	13	14	3	2	SOV	_
kto	4	16	1	1	9	1	SVO	VSO
kua	49	70	7	2	0	5	SVO	_
kub	11	38	6	0	3	4	SVO	_
kud	19	9	4	4	6	4	SOV	_
kue	92	19	12	21	4	6	SOV	SOV
kum	70	1	11	10	3	1	SOV	_
kup	27	9	8	7	1	2	SOV	SOV
kus	17	49	4	0	5	4	SVO	_
kvn	9	5	1	0	1	0	SOV	SOV
kwf	3	24	5	1	0	4	SVO	_
kwi	35	5	1	1	0	0	SOV	SOV
kwj	29	7	17	7	2	3	SOV	_
kxc	91	13	14	23	5	2	SOV	_
kyc	54	18	9	21	6	5	SOV	SOV
kyg	31	14	9	12	3	4	SOV	_
kyq	15	28	3	0	4	7	SVO	SVO
kyz	1	0	0	1	0	0	SOV	SOV
kze	32	16	2	13	8	5	SOV	_
kzf	4	26	1	7	9	5	SVO	_
lac	2	12	2	4	3	1	SVO	No dominant order
laj	6	68	7	0	9	2	SVO	SVO
las	5	27	2	2	1	2	SVO	_
lat	24	78	6	10	19	20	SVO	_
lav	147	171	37	5	7	1	SVO	SVO
lcl	3	0	4	2	0	0	OSV	_
lcm	10	62	8	2	7	6	SVO	SVO
ldi	3	17	7	0	1	1	SVO	_
lee	9	30	1	0	2	7	SVO	_
lef	18	30	7	3	5	5	SVO	SVO
leh	7	39	4	1	3	6	SVO	_
lem	28	35	3	1	2	3	SVO	_
leu	10	55	10	0	4	6	SVO	_
lew	4	29	1	2	3	8	SVO	_
lhu	29	4	11	4	0	0	SOV	SOV
lia	12	32	3	2	8	5	SVO	_
lid	3	22	2	0	0	3	SVO	_
lip	24	17	1	5	6	7	SOV	_
lit	41	98	9	8	3	1	SVO	SVO
ljp	6	59	5	2	3	3	SVO	SVO
lsm	5	42	13	0	2	2	SVO	_
luo	10	39	13	3	6	14	SVO	SVO
lus	33	8	15	9	1	1	SOV	SOV
lwo	9	17	6	4	9	6	SVO	_
maa	5	23	7	1	1	5	SVO	_
mad	8	43	6	9	4	2	SVO	_
mah	6	85	11	0	1	3	SVO	_
mai	43	6	4	7	2	2	SOV	_
maj	5	25	5	8	14	11	SVO	_
mak	1	11	3	0	18	6	VSO	_
mam	13	67	11	17	53	28	SVO	_
maq	2	4	2	1	9	5	VSO	_
mar	20	4	4	2	0	0	SOV	SOV
mau	7	42	6	1	1	2	SVO	No dominant order
mav	3	9	4	7	8	10	VOS	_
maw	3	36	2	2	3	1	SVO	_
maz	5	12	0	2	2	2	SVO	_
mbb	5	10	1	6	22	8	VSO	VSO
mbc	11	2	3	11	3	3	SOV	No dominant order
mbf	4	74	16	1	4	2	SVO	_
mbh	8	27	4	0	2	0	SVO	_
mbj	3	8	3	1	5	2	SVO	OSV
mbl	3	0	0	1	1	0	SOV	SOV
mbt	4	20	3	7	38	16	VSO	_
mcb	6	12	3	4	5	1	SVO	_
mcd	15	2	7	5	2	1	SOV	SOV
mck	5	53	7	3	3	11	SVO	_
mcn	11	44	5	2	2	1	SVO	SVO
mco	15	21	10	1	4	0	SVO	_
mcq	97	31	14	8	10	0	SOV	_
mcu	15	20	3	2	2	0	SVO	SVO
mda	10	20	4	2	3	4	SVO	_
mdy	88	12	32	20	5	4	SOV	_
med	1	0	0	0	0	0	SOV	_
mee	5	40	8	2	3	6	SVO	_
mej	3	22	1	0	1	2	SVO	SVO
mek	30	1	4	5	1	0	SOV	_
men	50	22	8	4	3	5	SOV	SOV
meq	5	14	2	0	0	3	SVO	_
meu	41	10	14	4	0	1	SOV	SOV
mfe	11	67	8	0	0	2	SVO	_
mfh	1	27	2	1	3	5	SVO	_
mfi	5	19	3	1	1	0	SVO	SVO
mfq	10	36	5	3	4	2	SVO	_
mfy	48	6	3	2	4	0	SOV	_
mfz	10	23	1	1	4	3	SVO	_
mhi	16	14	1	1	2	0	SOV	No dominant order
mhl	37	6	5	9	1	2	SOV	_
mhm	17	117	19	4	7	8	SVO	_
mhr	79	4	21	6	1	0	SOV	_
mhx	11	0	3	6	1	0	SOV	SOV
mhy	8	51	3	4	2	6	SVO	SVO
mib	1	15	1	1	21	4	VSO	_
mie	3	13	3	1	17	2	VSO	VSO
mif	3	25	2	0	1	1	SVO	SVO
mig	2	18	2	2	9	3	SVO	VSO
mih	4	9	2	3	14	4	VSO	_
mil	4	13	1	3	3	3	SVO	VSO
min	3	28	2	2	2	4	SVO	No dominant order
mio	2	10	0	1	15	6	VSO	VSO
miq	98	14	24	14	1	0	SOV	SOV
mir	7	1	6	2	1	0	SOV	_
mit	3	4	1	0	5	5	VSO	_
miz	4	9	3	5	12	2	VSO	_
mjc	2	7	2	2	6	2	SVO	_
mkd	44	73	8	14	1	8	SVO	SVO
mks	1	11	3	1	12	6	VSO	_
mlg	4	54	2	7	11	40	SVO	_
mlh	37	18	4	3	2	0	SOV	_
mlp	75	17	12	14	4	3	SOV	_
mlt	10	66	8	3	7	6	SVO	_
mmo	9	41	8	0	1	8	SVO	_
mms	7	13	2	6	14	5	VSO	_
mmx	7	46	8	1	3	6	SVO	_
mna	3	18	1	0	3	3	SVO	SVO
