ISO	SOV	SVO	OSV	OVS	VSO	VOS	MAX	WALS
cap	75	2	8	2	3	1	SOV	SOV
car	25	8	6	29	5	4	OVS	SOV
cas	5	10	4	4	8	1	SVO	SVO
cat	91	236	31	21	6	8	SVO	SVO
cav	9	3	2	2	2	1	SOV	No dominant order
cax	7	34	1	7	20	4	SVO	_
cbc	3	2	3	0	0	2	SOV	_
cbi	27	1	7	3	1	2	SOV	SOV
cbm	1	18	1	3	3	3	SVO	_
cbr	17	3	4	1	4	1	SOV	SOV
cbs	24	12	9	9	4	5	SOV	_
cbt	2	0	0	0	0	0	SOV	_
cbu	3	1	0	0	0	0	SOV	SOV
cbv	5	1	10	2	0	1	OSV	_
cce	30	68	5	2	3	3	SVO	_
cco	2	15	0	3	7	5	SVO	VSO
ceb	14	202	13	25	157	37	SVO	VSO
ces	96	183	40	20	56	20	SVO	SVO
cfm	49	13	27	4	1	4	SOV	_
cha	7	117	16	6	9	16	SVO	VSO
chd	6	10	0	0	0	1	SVO	_
che	48	24	5	15	7	3	SOV	SOV
chf	7	41	5	4	5	5	SVO	SVO
chq	11	27	3	6	12	3	SVO	VSO
chr	11	23	4	4	6	5	SVO	No dominant order
chu	24	72	13	12	28	29	SVO	_
chz	7	24	3	5	14	3	SVO	_
cjo	1	6	0	1	6	1	SVO	_
cjp	74	18	4	9	4	0	SOV	_
cjv	47	15	8	6	1	1	SOV	_
cke	3	15	4	3	1	2	SVO	_
ckf	8	19	1	3	3	3	SVO	VOS
cki	8	27	2	1	0	2	SVO	_
ckk	2	13	1	1	2	2	SVO	_
cko	4	41	5	0	1	0	SVO	SVO
ckw	4	14	0	0	4	2	SVO	_
cle	5	19	1	1	13	10	SVO	VOS
cme	8	34	2	3	3	4	SVO	SVO
cmn	54	235	6	0	3	5	SVO	SVO
cnh	39	12	29	8	3	0	SOV	SOV
cni	0	1	0	1	2	1	VSO	No dominant order
cnk	53	8	42	20	4	6	SOV	_
cnl	0	2	0	0	1	1	SVO	_
cnm	5	7	9	4	5	5	OSV	_
cnt	0	5	0	0	6	0	VSO	_
cnw	29	6	14	33	4	4	OVS	_
coe	12	3	3	23	8	5	OVS	VSO
cof	20	4	4	4	0	0	SOV	SOV
cok	4	9	1	3	1	0	SVO	_
con	61	9	12	6	9	0	SOV	_
cot	3	12	1	2	2	1	SVO	_
cpa	1	10	1	7	14	5	VSO	VSO
cpb	1	6	0	2	8	1	VSO	_
cpc	1	0	1	0	0	6	VOS	_
cpu	3	7	0	2	5	3	SVO	_
crm	16	64	6	2	2	4	SVO	_
crn	11	46	9	2	9	3	SVO	VSO
crt	2	9	2	1	4	1	SVO	_
crx	28	6	6	2	2	1	SOV	_
csk	9	27	5	0	7	7	SVO	_
cso	3	16	3	9	19	8	VSO	_
csy	33	1	22	14	0	3	SOV	_
cta	0	1	1	3	11	1	VSO	_
ctd	41	7	28	18	3	0	SOV	_
ctp	1	2	1	4	5	0	VSO	VSO
ctu	25	69	16	6	8	8	SVO	_
cub	5	12	3	3	7	1	SVO	OVS
cuc	1	14	0	4	20	10	VSO	_
cui	2	6	2	1	3	2	SVO	SOV
cuk	5	0	6	0	2	0	OSV	_
cut	2	8	1	2	11	5	VSO	_
cux	8	35	1	4	9	3	SVO	_
cwt	6	31	4	1	9	2	SVO	_
cya	6	20	1	7	16	7	SVO	_
cym	59	411	21	27	175	33	SVO	VSO
czt	34	8	35	25	4	9	OSV	_
daa	14	38	6	1	1	3	SVO	_
